sex_orientation,race,edu,food_security,income_group,citizen_years,type,degree
Straight,Hispanic,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$50,000 to $74,999","Non-US Citizen, 15 years or more",anxiety,Moderate
Straight,White,Associate degree,Food secure,"$50,000 to $74,999","Non-US Citizen, 15 years or more",depression,Mild
Gay/Lesbian,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Severe
Gay/Lesbian,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,Black/African American,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Hispanic,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Bisexual,Hispanic,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Bisexual,Hispanic,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,Hispanic,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,Black/African American,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,Hispanic,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,Hispanic,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,Asian,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,Asian,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Severe
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,Hispanic,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Gay/Lesbian,Asian,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Gay/Lesbian,Asian,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Gay/Lesbian,Hispanic,Bachelor's degree,Food secure,"$35,000 to $49,999","Non-US Citizen, 10 to less than 15 years",depression,Mild
Straight,Black/African American,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,Hispanic,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,Hispanic,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Very low food security,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Very low food security,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,Hispanic,Less than a high school diploma,Low food security,"$35,000 to $49,999","Non-US Citizen, 15 years or more",anxiety,Mild
Straight,Hispanic,Less than a high school diploma,Low food security,"$35,000 to $49,999","Non-US Citizen, 15 years or more",depression,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,Hispanic,Less than a high school diploma,Very low food security,"$50,000 to $74,999",US Citizen,anxiety,Severe
Straight,Hispanic,Less than a high school diploma,Very low food security,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,Hispanic,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Hispanic,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,Other single and multiple races,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Bisexual,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Moderate
Bisexual,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,Hispanic,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,Hispanic,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Hispanic,Less than a high school diploma,Food secure,"$0 to $34,999","Non-US Citizen, 15 years or more",anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Hispanic,Less than a high school diploma,Low food security,"$0 to $34,999","Non-US Citizen, 15 years or more",anxiety,Moderate
Straight,Hispanic,Less than a high school diploma,Low food security,"$0 to $34,999","Non-US Citizen, 15 years or more",depression,Mild
Straight,Hispanic,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Other single and multiple races,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,High school graduate,Low food security,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Low food security,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Master's degree,Low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Gay/Lesbian,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Gay/Lesbian,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Hispanic,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,Black/African American,Less than a high school diploma,Low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,Black/African American,Less than a high school diploma,Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,Hispanic,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Straight,Hispanic,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Something else,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Something else,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,Hispanic,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Hispanic,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,Other single and multiple races,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Hispanic,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Hispanic,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,Black/African American,GED or equivalent,Very low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,Black/African American,GED or equivalent,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Very low food security,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Very low food security,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$100,000 or greater",US Citizen,anxiety,Severe
Straight,White,Associate degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Black/African American,High school graduate,Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Black/African American,High school graduate,Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Black/African American,High school graduate,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Black/African American,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,High school graduate,Low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,Black/African American,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Black/African American,Bachelor's degree,Low food security,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,American Indian and Alaska Native,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Mild
Gay/Lesbian,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Gay/Lesbian,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Doctoral degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Hispanic,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Severe
Straight,Hispanic,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,depression,Moderate
Straight,Hispanic,Professional school degree,Food secure,"$75,000 to $99,999","Non-US Citizen, 15 years or more",anxiety,Severe
Straight,Hispanic,Professional school degree,Food secure,"$75,000 to $99,999","Non-US Citizen, 15 years or more",depression,Severe
Straight,Hispanic,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,Hispanic,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Very low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999","Non-US Citizen, 15 years or more",anxiety,Mild
Straight,White,High school graduate,Very low food security,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Very low food security,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Hispanic,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Hispanic,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,GED or equivalent,Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Bisexual,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Bisexual,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Asian,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Asian,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,Black/African American,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Gay/Lesbian,White,Associate degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,White,Doctoral degree,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Black/African American,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,Black/African American,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Severe
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Hispanic,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Bisexual,Hispanic,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Bisexual,Hispanic,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999","Non-US Citizen, 15 years or more",depression,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Hispanic,Less than a high school diploma,Low food security,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,Hispanic,Less than a high school diploma,Low food security,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,Black/African American,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,Less than a high school diploma,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Straight,White,Less than a high school diploma,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,White,"Some college, no degree",Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Asian,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Severe
Straight,Asian,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
